Node Name,Profile Name,Profile Title,Profile Version,Profile Summary,Control ID,Control Title,Control Impact,Number of Failed Results
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-101,Safe DLL Search Mode is Enabled,1,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-102,Anonymous Access to Windows Shares and Named Pipes is Disallowed,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-103,All Shares are Configured to Prevent Anonymous Access,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-104,Force Encrypted Windows Network Passwords,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-201,Strong Windows NTLMv2 Authentication Enabled; Weak LM Disabled,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-202,Enable Strong Encryption for Windows Network Sessions on Clients,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-base-203,Enable Strong Encryption for Windows Network Sessions on Servers,1,2
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-account-lockout-duration-1.2.1,1.2.1 Set Account lockout duration to 15 or more minutes,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-account-lockout-threshold-1.2.2,1.2.2 Set Account lockout threshold to 10 or fewer invalid logon attempts but not 0,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,cis-reset-account-lockout-1.2.3,1.2.3 Set Reset account lockout counter after to 15 or more minutes,0.7,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-account-100,Windows Remote Desktop Configured to Only Allow System Administrators Access,1,1
win2k3,windows-baseline,DevSec Windows Security Baseline,1.1.0,Baselin for best-preactice Windows OS hardening,windows-account-102,Windows Password Complexity is Enabled,1,1
